ANSWERCODE,SEX,AGE_10,JOB,Q1,Q2,Q3,Q4,Q5,Q16,Q17
a452077,1,3,16,0,5,4,3,4,아직 자세한 내용은 모르겠네요,딱히 변화하진 않았음
f9abdfe,2,3,16,0,4,5,1,4,공약자체는 사회에 필요한 공약이라 생각이 됩니다. 추진하는 과정에서 지금처럼 투명하고 불필요한 지출이 없었으면 합니다.,변함 없음.
085af8c,2,5,9,1,4,5,1,5,공약실천했음한다,아니오
c9a47a9,2,5,9,1,4,5,2,4,필요한정책이라생각한다,없다
11e2d1e,2,2,1,0,3,4,1,4,좋은 공약이라고 생각한다,딱히 없다
601f918,2,3,4,0,5,4,3,4,어린이의 보호는 필요하다. 꼭 필요한 정책,변화 없음
0a5643e,2,2,1,0,4,4,1,4,어린이보호구역에서 제한 속도 지키지 않고 가는 차들 많이 봤어요. 우리의 귀한 보물은 어린이들의 안전을 지킬 수 있는 좋은 공약이라고 생각합니다,원래 좋은 생각을 가지고 있었기에 변화는 없습니다
06986f5,2,2,1,0,6,4,3,4,앞으로 시행하고 확대되어야할 공약으로 생각된다,없음
9b50403,2,5,5,0,4,3,2,4,국민들을 위한 좋은 공약이라고 생각한다,위 공약은 처음 보는데 국민들을 위하는 모습을 보여준것 같다
e82d9e0,2,2,6,0,4,4,2,4,어린이존에 차가 많이 없는 것을 이유로 우회해서 대형차들이 이용하거나 속도제한을 지키지 않는 경우를 봐왔기 때문에 필요한 정책이라고 생각합닏.,긍정적인 생각을 갖고있었기 때문에 설문으로 인한 변화는 크게 없습니다.
1b095da,2,2,15,0,2,4,2,4,공약의 의도가 좋다고 생각한다. 대신 제도와 시설에 더불어 실질적으로 아이들이 도움을 받을 수 있는 부분이 있다면 좋을것같다.,큰 변화가 있는것은 아니다
7940724,2,2,6,0,1,5,3,4,꼭 필요한 공약이라고 생각함,딱히 변화없음
c46d012,2,2,13,0,2,5,4,5,더 확실하게 추진해주세요,없다
7ff1a56,1,2,1,0,5,4,1,4,학생 어린이 보호를 위해 공약이 좋고 세금을 낭비하지 않는다면 찬성한다,변화는 없다
97c6c4f,2,4,9,1,4,3,1,3,공약으로 해결될 일인가 싶다교통안전공단 이나 경찰이 할일 이라고 보는데...,대선주자로 나오기위한 준비를 하는 서울시장 이미지
4aa3fd6,2,3,1,1,2,4,4,4,꼭 추진되었으면 합니다,생각의변화는 없습니다
6e55c16,1,2,4,0,4,3,2,4,아직 자녀가 없어 크게 와닿는 공약은 아니지만 그래도 가해자가 될 수도 있다는 사실을 생각하면 괜찮은 사업안인 것 같다,그렇게 긍정적이지도 부정적이지도 않다
c2e6e3d,1,2,1,0,1,2,2,2,단순히 어린이 보호구역내에서는 차량 속도를 30km 이하로 하고 이에 대한 규제를 강화만 하는 방법으로는 완벽하게 사고를 막을 수 없으므로 차량 속도에 대한 규제 외에도 아이들에게 그러한 행동을 하는 것이 굉장히 위험하다는 교육을 자주 실시하여 돌발 상황을 줄이는 방법이 병행되어야 한다고 생각 합니다. 교육도 단순히 년 12회가 아니라 수시로 강조하고 조심하도록 하는 것이 필요합니다.,도로에 대해서 전반적으로 규정속도를 낮게 하여 속도를 늦추는데 규정신호로 주행할 경우 신호등마다 신호를 받게 되어 오히려 도로 정체를 유발하여 사고 발생시 피해는 적을 수 있어도 이로인해 발생하는 손해 역시 커질 것으로 예상됩니다. 어린이 보호 구역에서의 서행은 공감을 하지만 사업을 추진할 때 신호 체계도 함께 고려하여 변경을 하였으면 합니다.
6ef193f,2,3,4,0,5,5,3,5,어린이 보호를 위해 꼭 필요한 것,정책에 대해 알게됨
a34792c,2,2,16,0,4,4,2,4,아이들에 대한 교육만이 문제해결이 될 것이라고 생각하지 않습니다. 반강제적인 제도라고 하더라도 어른들이 아이들의 안전을 나서서 지킬수 있는 제도가 많이 생겨났으면 좋겠습니다.,변화 없습니다. 항상 감사하게 생각하고 있습니다. 앞으로도 좋은 정책 올바른 실천 부탁드립니다.
6657f57,2,2,1,0,4,4,1,4,괜찮은 공약인것같다,일을 열심히 하는것같아 좋아보인다
0080b4d,2,2,4,0,3,4,1,4,비록 현재의 저와는 관계가 없는 정책이지만 아이들을 보호하는 것은 중요한 일이기에 반드시 실천되어야 하는 공약이라 생각합니다. 다만 해당 공약 실천을 명목으로 세금이 새어나간다면 그것은 안될 일이라 생각합니다.,제가 관심을 갖지 않고 있는 분야이지만 시장님이 관심을 갖고 문제를 개선해나간다고 하니 긍정적으로 보게 되네요 :)
9cec053,2,3,9,0,6,5,2,3,공약에 대해 효과가 있을지 알아보고싶다,한순간의 이목을 끄는 정책보다는 우리 사람들이 직접 실천 할수있고 행동 할수 있는 좋은 정책들이 더 많이 만들어 지길 바랍니다
4571c9c,2,3,9,1,3,3,3,5,꼭 실행되었음 좋겠다,종전과 같다
8.40E+18,2,2,1,0,4,5,1,3,좋은것같다,그런 공약이 있다는 걸 알게되었다
8006a84,2,2,1,0,3,4,1,4,좋은 취지인 것은 맞으나 좀 더 실효성있는 대책이 필요하다.,딱히 변화한 것 같지 않다. 모든 정치인은 항상 정책을 내세우지만 그다지 실효성도 없고 비슷비슷한 정책만을 남발하는 것 같다. 환심사기 정책이 많은 듯
b61b1f2,2,2,15,0,5,2,2,5,꼭 실행되어야한다고 생각한다,아니오
96d84b1,2,2,13,0,4,5,3,5,꼭 필요한 사업이다,변화는 없다
9ed8a9b,1,2,1,0,2,4,2,4,실천되면 좋겠지만 그로인해 발생할 교통체증등의 문제를 해결하는것도 당연히 선행되어야 한다,특별히 생각이 바뀐것은 없다
fd3f9c7,1,3,1,0,4,4,1,4,바람직하다 반대할 이유가 없다,따로 없다
ad0ebe0,1,4,8,0,4,5,3,4,안전 표지판도 중요하지만 어린이 안전 교육도 중요할 듯,변화가 없습니다
e9a98dd,1,3,6,0,2,3,2,4,물론 시행중이겠으나 어린이가 안전한 도보를 할수 있는 환경보가 아이를 낳을수 있는 환경과 지원이 우선시 되어야 한다고 생각합니다.,기존에도 부정적이었던 사항에 변화가 없습니다.
a99768f,2,2,14,0,3,4,2,4,좋다고 생각하지만 정말 현실적인 정책을 펼쳐야한다고 생각함 직접 발로 뛰어서 뭐가 진정 필요한지 생각해야함,없다
bdcbc0b,2,2,13,1,4,5,4,4,모릅니다,모릅니다
21503aa,1,2,6,0,6,4,1,4,나쁘지않고 잘이루어진다면 좋는거 같다,딱히 변화는 없다
81c14ae,2,3,1,0,6,5,1,4,나홀로 등교자들이 많은만큼 필요한 공약임,없습니다
faca3e8,1,4,6,0,4,5,5,5,좋은 생각,없어요
d69b95d,2,2,16,0,3,4,3,4,괜찮은 생각,아니오 없습니다.
757b220,2,3,16,1,4,3,5,4,중요한 내용이라고생각한다 시설뿐만아니라 시설을 관리감독하는게 더 중요한 일이라고 여겨진다,없음
af695ba,2,5,9,1,1,3,2,2,잘  모르겠습니다  어느 대책이  정답이  되야 되는건지를,전혀  관심  조차도   없습니다
d5c3fde,2,2,16,0,2,3,3,4,어린이 보허구역내 교통사고가 빈번히 일어나는데 이 공약은 아주 좋다고 생각합니다. 공약뿐 아니라 사후관리가 관건인 공약이라고 생각되구여,이 공약으로 조금은 생각이  조금 변한건 사실이지만 구체적으로 어떻게 이루어 지는지 향후 대책으로 어떤게 잇는지 관리는 어떻게 할건지 한번 공약에 대해 자세히 알아볼 생각입니다.누구나 좋은 공약은 내세울수 있지만 추후 어떻게 진행되는지 관리는 어떻게 할건지 지출에비해 허술하진 않는지 인력부족으로 미흡한건 아닌지가 관건인만큼 앞으로 지켜볼 생각입니다.
0179bcc,1,2,1,0,4,5,5,4,요즘같이 맞벌이부부가 많은 시대에 꼭필요한 정책이다,평소에 이런부분 많이 신경써주셨다고 생각한다
9c09e78,2,3,1,0,4,2,2,4,필요한 공약이다. 잘 집행되어 사고가 줄었음 좋겠다,변화 없다
de8ad0c,2,3,1,0,4,4,3,4,공약은 좋은것 같은데이문제를 어떻게 해결할 것인지에관해서는 제대로 전달이 안된것같습니다자세하면서 쉽게 이해가능한 공약을 생각해주세요,아직까지는 특별한 변화점을 느끼지 못하였습니다소통부탁드립니다
d3b0f65,2,3,9,1,5,5,4,5,학부모로써 너무나 당연한 공약이라고 생각한다.. 꼭 이룰수 있도록 해주었으면하는 공약이다..,박원순시장을 좋아한다.. 다음에도 잘 됐으면 한다..
e559aa7,1,4,4,1,5,4,3,4,잘하고 있는것같다,처음에는 그냥 그렇다고생각되었지만 설문조사하고하면서 잘하고 있는것처럼 느껴진다
c3e4b30,2,2,4,0,3,4,4,4,꼭 필요한 공약이라고 생각합니다,아이들을 보호하는 정책이기에 저출산 교육 문제에 있어서 이러한 정책들이 더 많은 분야에서 나왔으면 좋겠습니다
c9d811c,1,3,1,0,3,4,1,4,진향 내용을 몰라서 답변이 어렵습니다.,어린이 안전을 위한 활동은 꼭 필요하다고 생각합니다. 잘 실현시켜주시면 좋겠습니다
ecd643d,2,3,8,1,2,4,4,4,인식이 잘 안 되어 있음,없음
9c4162b,1,3,1,0,3,4,3,4,실질적인 공약이행을 이룰수있는 대책이 필요,변화없음
b1a817c,2,2,15,0,4,5,2,5,괜찮은 정책이라 생각합니다.,생각의 변화는 없습니다.
c028d0a,1,3,1,0,3,3,1,2,좋은 생각이나 그에 따라 피해보는 사람도 있지 않을까 싶네요 추진만 하고 끝날것인지,글쎄요 별로 없네요
8e36e13,1,5,5,1,5,3,2,3,어린이는 앞으로 우리나라의 미래이니 당연히 그들의 안전을 지켜주어야한다.~!~,시장의 의도는 아주 좋은 생각이나 그것이 서울에만 국한되어진다면 그 의미는 미미할것이다~
6c73c0d,2,4,1,0,1,3,1,4,예산을 낭비하지말고 써야할곳에 정확하게 사용했으면 좋겠다. 시설 설치로만 끝낼 문제가 아니다.,별로 생각해본 적도 없고 변한것도 없음
b396f03,2,4,1,1,3,3,5,4,무엇이든 제로는 어렵다..공약이 너무 거창하면 현실과 갭이 있어 보인다.,공무원은 역시 형식적인거같다
215bc29,1,3,1,1,2,5,5,5,공약이 추진되고 있다면 일반적인 사람들에게 홍보가 잘되어야 하지만 다수가 아닌 소수만 알고 있기에 추진력은 약하다 사례됨.,중도보수 성향이지만 박원순 시장이 하고자 하는 목표와 취지는 옳다고 판단함
5ec5639,1,3,1,1,2,4,3,4,분명 필요한 대책이지만 어떻게 추잔할 예정인지 등 구체적인 방안에 대해 들은바 없어 달성 여부에 의문이 생김,공약에 대한 시민들의 관심도 및 호응도에 대한 인식이 떨어진다고 판단됨
2d295dd,2,2,5,0,5,3,3,4,아이들뿐 아니라 교통사고가 많이일어나므로 서로를 위해 꼭 필요하다,없어요
1614d50,1,2,1,0,2,4,1,4,가뜩이나 고령화가 심해지는와중에우리나라의 미래인 아이들의 안전이 중요하다고생각합니다.그런의미에서 좋은공약이라고 생각합니다.,그럴듯한 공약은 누구나 가지고있습니다.그걸 현실로 보여주는것이 중요하다고생각합니다.결과가 나오기전까진 제 생각은 변하지 않을것같습니다.
c6f67d7,1,4,1,1,4,1,1,1,어린이 보호도 좋지만 보행자에 일방적으로 유리한 정책과 법령은 교통무질서와 보험사기 등의 부정적측면이 많으므로 반대,없음
b3dfe77,2,4,8,0,4,4,2,4,비간 어린이만 보호한다기 보단 가족 전체 시민들에게 필요하다고 생각한다.,시장에 대한 생각이 바뀌었다기 보다 정책을 잘 진행했으면 하는 기대감이 있다.
23a8d3a,1,2,13,0,6,4,3,4,맞벌이 부부가 점차 증가하는 상황이니 혼자 등교하는 학생들도 많아질 것입니다. 앞으로 위험 수치가 더 높아질테니 꼭 추진했으면 좋겠습니다.,아니요. 변화없습니다.
e5def10,2,4,1,0,1,3,4,4,속도측정카메라를 운전자에게 직접보이게해서한번더 경각심을 주는건 좋은 아이디어라고생각해요.,어린이보호구역 내의 차량속도계 설치
6734a9d,1,3,1,1,3,3,4,4,잘 진행 됐으면 합니다,변화 없음
2bdeb38,1,4,6,1,4,4,4,5,어린이의 안전을 위해 zero zone의 공약을 지지한다,없다
4e64579,2,3,4,0,4,5,2,5,학교나 학원어린이집 등하교 시에 발생하는 교통사고가 빈번해지고 있는데 운전자의 안전운전만으로도 많이 줄어들 것이라 생각합니다 어린이 보호구역 내에서 교통법규 위반의 경우 벌점 또는 범칙금을 현재보다 더 부과하고 워킹 스쿨버스 옐로카펫 등의 사업을 통해 모두가 어린이와 운전자 지역사회 모두가 함께 할 수 있는 대책을 수립하면 좋겠습니다,아니요 없습니다
5a3ad1c,1,2,15,0,4,4,1,4,추진하여 서울시 아동을 보호하는 것에는 찬성하나그 방법과 수단을 잘 파악해야 합니다. 무작정 예산 투입하여 추가설치하기보다는 운전자 의식개선에 우선적으로 예산투입하는게 결과적으로 예산경감에 일조할것이라 생각함,변화없어요
d9e4d66,2,2,15,0,4,3,1,3,교통사고 제로를 위해 어떻게 할 것인지다 중요한 것 같다. 취지 자체는 매우 좋으나 방법이 엉망이면 세금만 낭비하고 효과는 없을 것 같다.,생각의 변화는 전혀 없었다. 다만 이 질문을 보고나니 이 설문의 취지를 잘 모르겠다. 그 공약을 실행할지 말지 보는 설문인지 서울시와 시장님을 위한 설문인지.
cc770c0,1,3,4,0,3,4,1,4,요즘같이 자녀수가 적고 아동인구가 낮을 때 교통사고로 아동인력을 잃는 다는 것은 사회적으로 너무 큰 비용이다. 비록 직접적으로 관련된 바는 없는지믄 이에 대한 공약에 긍정적으로 생각한다.,박원순 시장에게 큰 호감은 없으나 시장으로서 업무는 충실히 이행한다고 생각한다. 과거 공약이 소소한 프로젝트였다면 이번 공약은 다소 규모가 커졌다고 생각한다. 향후 공약의 실천과 결과를 통해 박시장에 대한 재평가를 가질 수 있을 것 같다.
36137fe,1,3,1,1,3,3,4,4,언급한대로 처벌규정.  피해자 보상 규정.  사고처리 우선순위 법안같은 실질적인부분부터 잡아야죠,이걸질문이라고?
72413bc,2,3,1,0,4,3,1,4,처음 들었고 제대로 알려지지 않은 것 같다. 어떤 방식으로 정책을 실행하고 있는지도 모른다,뭔가 움직이고는 있구나. 정도
cab70a5,2,2,15,0,6,3,3,3,어린이 보호를 위해서,좋은 이미지
0e09c34,2,3,1,1,2,4,5,4,꼭 필요합니다,변화 없습니다
45cf914,2,2,13,0,4,3,2,2,실질적으로 사고를 예방할 수 있는 걸 했음 좋겠다,별로 변화한 것 없다
f4a3e9b,2,3,6,1,3,4,3,4,취지는 좋다고 생각합니다.실행이 얼마나 되는지가 중요할것입니다,별다른 변화없습니다.
1ec1205,2,3,9,0,6,4,3,4,어린이보호구역 내 교통사고 제로 목표는 필요한 공약같습니다. 학교앞 30km 속도 제한도 잘 이루어지지 않는거 보면 다양한 방법으로 더 안전할 수 있게 목표를 세워야 할거 같습니다.,생각에 변화는 없었습니다.
511dec8,2,2,14,0,4,4,2,4,예전에는 보지 못했던 어린이 보호구역 내 속도 표시등을 볼 수 있었고 이곳이 어린이 보호구역임을 나타내는 표지판을 예전보다 쉽게 볼 수 있었다,변화는 없었다
63bbc97,2,2,15,0,4,4,2,4,관심이없어서 몰랐는데 이런 영역에도 신경쓰는것같다,안바뀌었다 당연히 해야할일을 하는것같다
17c7535,2,2,13,0,6,4,1,4,괜찮은 것 같다,변화없습니다
16ac4d9,1,3,4,0,5,3,1,4,취지는 매우좋다고 생각한다 투명하고 성실하게 하여서 불신을 업게하길바런다,큰변화가 없지만 의지알수있고 정보를얻게 되었다
c4bd358,2,3,1,0,5,5,2,4,어린이 교통사고가 매년 늘고있다고 알고있습니다. 예비 부모가 될 입장으로서 꾸준히 개선한다면 마음놓고 학교를 보낼 수 있을것 같습니다,어린이를 위한 공약도 하셨는지 몰랐습니다. 감사하게 생각합니다.
3cb4e0e,2,3,1,1,4,5,5,5,골목길에 차가많이다닌다 워킹맘이라 혼자 보내야하는데 걱정이많다  이런정책들을 내놓아 하나하나 해결해준다면 부모들은 정말 안심할 수있고 고맙다,이런 정책이 있는줄몰랐었는데 고민만 없게해준다면 더 지지한다
b80b9ad,1,2,1,0,4,4,1,4,잘 모르는 분야였으나 주요 공략으로 추진하신다니 감사할 부분입니다,예전부터 지지했고 앞으로도 지지합니다
3b02b0c,1,3,1,1,5,5,5,5,아이들을 보호하려는 관심이 복지에 시작인것 같습니다. 화이팅,응원합니다
